Word,Season #,Episode #,Ep name,Speaker,Sentence,Sort order,Episode ID,Count words,Locked
Well,1,1,Pilot script,SB,"Well, not this!",964,s1e1,3,FALSE
You,1,1,Pilot script,BP,"You think Blackbeard’s crew sews? No. We were too busy killing. Or-- Or drinking. And when we weren’t killing or drinking we were plotting, or scheming, or just generally being badasses.",967,s1e1,31,FALSE
Ye,1,1,Pilot script,WJ,Ye never sailed with Blackbeard.,998,s1e1,5,FALSE
Hey,1,1,Pilot script,FR,"Hey, can you pass the black thread, pretty please? Cheers m'dears.",1003,s1e1,11,FALSE
What,1,1,Pilot script,RO,What is that? A cat? The flag’s supposed to be scary.,1014,s1e1,11,FALSE
Cats,1,1,Pilot script,FR,Cats are terrifying. Everyone knows that. Because they’re witches. And they've got knives in their feet.,1025,s1e1,16,TRUE
Can,1,1,Pilot script,BP,Can we forget about the flag for a second and focus on the mutiny?,1041,s1e1,14,FALSE
Mutiny,1,1,Pilot script,FR,"Mutiny or no, we're gonna need a scary flag, aren't we, so--",1055,s1e1,12,FALSE
Look,1,1,Pilot script,BP,"Look, the point is, we should be pillaging. The current management’s gotta go. Who’s with me?",1067,s1e1,16,FALSE
If,1,1,Pilot script,WJ,"If we can light him on fire, I’m in.",1083,s1e1,9,FALSE
That's,1,1,Pilot script,BP,That’s one. Who else?,1092,s1e1,4,FALSE
Hey,1,1,Pilot script,LS,"Hey guys, so... Um... Buttons told him.",1096,s1e1,7,FALSE
Oh,1,1,Pilot script,BP,Oh goddamnit!,1103,s1e1,2,FALSE
I'm,1,1,Pilot script,LS,"I’m still in, by the way.",1105,s1e1,6,FALSE
Mutiny,1,1,Pilot script,SB,Mutiny? Really? I... I can't believe it. Why?,1111,s1e1,8,FALSE
I,1,1,Pilot script,BU,"I wouldn’t take it personal, it’s just that they don’t like ye. Or the way that ye do things.",1119,s1e1,19,FALSE
Hm,1,1,Pilot script,SB,"Hm! I’m supportive, caring, responsive to their needs...",1138,s1e1,8,FALSE
See,1,1,Pilot script,BU,"See, that may be what’s contributin' to the poor overall impression.",1146,s1e1,11,FALSE
What,1,1,Pilot script,SB,What is the overall impression?,1157,s1e1,5,FALSE
That,1,1,Pilot script,BU,"That yer weak, soft-bellied, yella--",1162,s1e1,5,FALSE
Ah,1,1,Pilot script,SB,Ah. I see.,1167,s1e1,3,FALSE
Yer,1,1,Pilot script,BU,"Yer craven, ill-equipped to lead men--",1170,s1e1,6,FALSE
Understood,1,1,Pilot script,SB,Understood! Thank you. What I'm hearing is that they could do with more structure. Perhaps a firmer hand.,1176,s1e1,18,FALSE
Or,1,1,Pilot script,BU,"Or an iron fist. Give ‘em somethin' to really sink their teef inta. Make 'em earn their keep, know what I'm sayin'?",1194,s1e1,22,FALSE
I,1,1,Pilot script,SB,I get it. Toughen up.,1216,s1e1,5,FALSE
Question,1,1,Pilot script,WJ,"Question, who’s gonna be Captain if we kill Captain?",1221,s1e1,9,FALSE
We,1,1,Pilot script,BP,We vote on it. And then it’ll be me. 'Cause I’m the most experienced.,1230,s1e1,14,FALSE
How,1,1,Pilot script,RO,How bout Jim? He looks experienced.,1244,s1e1,6,FALSE
Uh,1,1,Pilot script,BP,"Uh, well, he’s a mute, for one. Which seems problematic in a leader. No offense, I know you’re mates.",1250,s1e1,19,FALSE
Oh,1,1,Pilot script,OL,"Oh, no, none taken, it’s true. Besides, Jim’s not too keen on politics anyway, so...",1269,s1e1,15,FALSE
Oh,1,1,Pilot script,SB,Oh! How 'bout that one? Is that big?,1284,s1e1,8,FALSE
Aye,1,1,Pilot script,BU,"Aye. Hard to say for certain, but... I expect she's a beauty.",1292,s1e1,12,FALSE
Good,1,1,Pilot script,SB,"Good. All right, should we go for that one? It's the only one I can really see... Let's do it.",1304,s1e1,20,FALSE
What,1,1,Pilot script,BP,"What about you, Oluwande? In or out?",1324,s1e1,7,FALSE
Well,1,1,Pilot script,OL,"Well, I don’t really have a problem with the captain",1331,s1e1,10,FALSE
He,1,1,Pilot script,OL,He reads us stories at night. That’s one nice thing about him.,1341,s1e1,12,FALSE
If,1,1,Pilot script,OL,"If we kill him, we’ll never know what happens to the wooden doll who wants to become a real boy. Because none of us can read.",1353,s1e1,26,FALSE
Lucius,1,1,Pilot script,SW,Lucius reads.,1379,s1e1,2,FALSE
But,1,1,Pilot script,WJ,But can he do voices? Captain does the voices.,1381,s1e1,9,FALSE
Captain,1,1,Pilot script,OL,Captain does the voices.,1390,s1e1,4,FALSE
Talk,1,1,Pilot script,RO,Talk like a wooden boy.,1394,s1e1,5,FALSE
Do,1,1,Pilot script,FR,"Do the, uh, the boy voice.",1399,s1e1,6,FALSE
Oh,1,1,Pilot script,LS,"Oh, no... That's okay.",1405,s1e1,4,FALSE
Oh,1,1,Pilot script,LS,"Oh hello, I’m a little wooden boy, and me legs are sticks...",1409,s1e1,12,TRUE
Christ,1,1,Pilot script,WJ,"Christ, that was awful.",1421,s1e1,4,FALSE
Avast,1,1,Pilot script,SB,"Avast ye! Now, listen up! I gather some of you feel as though we’re not “real pirates.” Well, here’s the deal, buckos, we’ve got our eyes on a ship. A big one.",1425,s1e1,32,FALSE
That's,1,1,Pilot script,SB,"That's right! A whopper! And we’re going to catch up with it forthwith and then we’re gonna kick its ass! So, any questions?",1457,s1e1,23,FALSE
Is,1,1,Pilot script,RO,Is it really a big ship this time?,1480,s1e1,8,FALSE
Yes,1,1,Pilot script,SB,Yes! I just said it was--,1488,s1e1,6,FALSE
I'm,1,1,Pilot script,RO,"I’m not asking you, I’m asking him.",1494,s1e1,7,FALSE
She's,1,1,Pilot script,BU,"She’s quite impressive, aye.",1501,s1e1,4,FALSE
But,1,1,Pilot script,WJ,But can we light it on fire?,1505,s1e1,7,FALSE
I'd,1,1,Pilot script,SB,I’d be disappointed if we didn’t!,1512,s1e1,6,FALSE
Yes,1,1,Pilot script,WJ,Yes!,1518,s1e1,1,FALSE
To,1,1,Pilot script,FR,"To death we go, to certain death we go. Our one hope being that a certain death ain't slow.",1519,s1e1,19,FALSE
Unsheathe,1,1,Pilot script,FR,Unsheathe our swords and sharpen up our knives and head full sail towards the ending of our lives.,1538,s1e1,18,FALSE
Our,1,1,Pilot script,FR,"Our chances are slim, not very good at all. To death we go, to almost certain death we go.",1556,s1e1,19,FALSE
Well,1,1,Pilot script,SB,"Well, I think that worked well!",1575,s1e1,6,FALSE
Aye,1,1,Pilot script,BU,"Aye. They do seem less inclined to murder ye, Cap’n.",1581,s1e1,10,FALSE
Uh,1,1,Pilot script,SB,"Uh, Mr. Buttons... You don’t think it’ll actually get that bloody, do you?",1591,s1e1,13,FALSE
Well,1,1,Pilot script,BU,"Well, it's hard to tell. Raids are like snowflakes.",1604,s1e1,9,FALSE
No,1,1,Pilot script,SB,No two quite alike?,1613,s1e1,4,FALSE
Well,1,1,Pilot script,BU,"Well, no, they almost always end in terrible bloodshed. Snowflakes may not be the best comparison.",1617,s1e1,16,FALSE
What's,1,1,Pilot script,SB,...What’s that?,1633,s1e1,2,FALSE
Me,1,1,Pilot script,BU,Me fangs. In case I have to chew through some poor fucker's throat.,1635,s1e1,13,FALSE
God,1,1,Pilot script,SB,God!,1648,s1e1,1,FALSE
I'm,1,1,Pilot script,BU,I'm gettin’ too old fer the hand-to-hand violence.,1649,s1e1,8,FALSE
Open,1,1,Pilot script,FBO,"Open your eyes, child. This is what a man’s work looks like. Come, boy. Come with me. Come on!",1657,s1e1,19,FALSE
One,1,1,Pilot script,FBO,"One day, all this will be yours. Not because you deserve it. Not because you've earned it. Lord knows you haven't done that. Because you lucked into it. What do you suppose that makes you?",1676,s1e1,35,FALSE
Fortunate,1,1,Pilot script,SB,Fortunate?,1711,s1e1,1,FALSE
Fortunate,1,1,Pilot script,FBO,"Fortunate?! Oh, no. A weak-hearted, soft-handed, lily-livered little rich boy. That's all you'll ever be, Stede Bonnet.",1712,s1e1,17,FALSE
That's,1,1,Pilot script,SB,That's all I'll ever be. ...All I'll ever be. Y-- Yes?,1729,s1e1,10,FALSE
Oh,1,1,Pilot script,OL,"Oh, uh, hey. Buttons sent us to check in. ...Is everything alright? What-- You're in your pajamas.",1739,s1e1,17,FALSE
No,1,1,Pilot script,SB,"No! No, this is... my battle jacket. Yeah, I find the, uh... the feel of silk very invigorating.",1756,s1e1,18,FALSE
All,1,1,Pilot script,OL,"All right, well, we’ll leave you to it, then. Yeah?",1774,s1e1,10,FALSE
Oh,1,1,Pilot script,SB,"Oh, hey! No, come in! Come in. Please, come in.You know, I was going to say, it’s actually been a minute... since I’ve, uh... done the old hand-to-hand. Don't suppose you could give me a refresher?",1784,s1e1,37,FALSE
Refresher,1,1,Pilot script,OL,"Refresher? Well, Jim’s seen the most combat, so... Is there anything in particular, or...?",1821,s1e1,14,FALSE
Oh,1,1,Pilot script,SB,Oh! Just the basics. Should do it.,1835,s1e1,7,FALSE
That's,1,1,Pilot script,OL,"That's a kill, there’s a kill, another kill-- Oh, there's your balls gone. And a kill.",1842,s1e1,16,FALSE
Right,1,1,Pilot script,SB,"Right, that's... It's so permanent, isn't it? A lot of those, which I-- I like them, but is there something perhaps less so? Like... a stun move?",1858,s1e1,26,FALSE
I,1,1,Pilot script,OL,"I mean, I suppose if you kind of, yeah-- If you kind of hit someone at the back there, you’d knock them out.",1884,s1e1,23,FALSE
Oh,1,1,Pilot script,SB,"Oh, that...That is a relief. And does it have to be a sword, or can you use--",1907,s1e1,18,FALSE
No,1,1,Pilot script,OL,"No, anything heavy should do it. Listen, Captain, you know, if I may...",1925,s1e1,13,FALSE
You,1,1,Pilot script,SB,You may. Come on. Have a seat. Please.,1938,s1e1,8,FALSE
All,1,1,Pilot script,OL,All right.,1946,s1e1,2,FALSE
This,1,1,Pilot script,SB,This is nice.,1948,s1e1,3,FALSE
Look,1,1,Pilot script,OL,"Look, Captain... You know, pirating is not for everyone.",1951,s1e1,9,FALSE
Oh,1,1,Pilot script,SB,"Oh, no. Yeah.",1960,s1e1,3,FALSE
It's,1,1,Pilot script,OL,It’s a really dangerous lifestyle.,1963,s1e1,5,FALSE
Yeah,1,1,Pilot script,SB,"Yeah. Some of us thrive on danger, don't we?",1968,s1e1,9,FALSE
Yeah,1,1,Pilot script,OL,"...Yeah. Yeah, but look. Me and Jim, we don’t do this because we like it. We do it because we don't have any other choice.",1977,s1e1,25,FALSE
Oh,1,1,Pilot script,SB,"Oh, I hear that. I mean, here we are, just, the whole band of us... killing, and... having to kill.",2002,s1e1,20,FALSE
I,1,1,Pilot script,SB,"I mean, that's... H-- Having to k-- kill. ...Oh god. I’ve made a mistake. I’m not a pirate. I’m an idiot. ...Oh god. Oh no...",2022,s1e1,23,FALSE
What,1,1,Pilot script,SB,What the hell was that?,2045,s1e1,5,FALSE
it's,1,1,Pilot script,BU,"It's a warning shot, Cap’n. Finally caught what we been chasin’.",2050,s1e1,11,FALSE
Why,1,1,Pilot script,SB,Why is that ship so big?!,2061,s1e1,6,FALSE
She's,1,1,Pilot script,BU,"She’s an English Naval warship, turns out. Ten times as many men, ten times as many guns...Have ye been cryin'?",2067,s1e1,21,FALSE
What,1,1,Pilot script,SB,What? No! ...No.,2088,s1e1,3,FALSE
don't,1,1,Pilot script,SB,Don't panic!,2091,s1e1,2,FALSE
They're,1,1,Pilot script,WE,They’re still not moving.,2093,s1e1,4,FALSE
Permission,1,1,Pilot script,WE,"Permission to blow them to hell, Captain?",2097,s1e1,7,FALSE
I,1,1,Pilot script,BA1,"I suppose so, yes. And we’re quite certain they’re pirates?",2104,s1e1,10,FALSE
Hard,1,1,Pilot script,WE,Hard to say. One appears to be a heavyset woman in a silk dressing gown.,2114,s1e1,15,FALSE
Eye,1,1,Pilot script,BA1,Eye~!,2129,s1e1,1,FALSE
You,1,1,Pilot script,WE,"You can see her there, cowering.",2130,s1e1,6,FALSE
What,1,1,Pilot script,BA1,What the devil? Stede?,2136,s1e1,4,FALSE
They're,1,1,Pilot script,FR,"They’re sending over a tender, Captain!",2140,s1e1,6,FALSE
What,1,1,Pilot script,SB,What? A tender! Everybody hide!,2146,s1e1,5,FALSE
I,1,1,Pilot script,WE,"I say, does one of you happen to be Stede Bonnet?",2151,s1e1,11,FALSE
What,1,1,Pilot script,OL,What are you looking at? Get up! Get up!,2162,s1e1,9,FALSE
We,1,1,Pilot script,WE,We know you’re there. We saw you.,2171,s1e1,7,FALSE
Oh,1,1,Pilot script,SB,"Oh, yes! I’m he. Hi.",2178,s1e1,5,FALSE
Captain,1,1,Pilot script,WE,Captain Badminton of His Majesty’s Royal Navy sends his regards.,2183,s1e1,10,FALSE
Captain,1,1,Pilot script,SB,Captain Badminton? Nigel Badminton?,2193,s1e1,4,FALSE
One,1,1,Pilot script,Hostage,One and the same! He’s dreadfully sorry about the cannon fire.,2197,s1e1,11,FALSE
Oh,1,1,Pilot script,SB,Oh...,2208,s1e1,1,FALSE
He'd,1,1,Pilot script,WE,He’d like to come aboard and apologize in person. Over tea.,2209,s1e1,11,FALSE
Not,1,1,Pilot script,SB,Not necessary!,2220,s1e1,2,FALSE
I'm,1,1,Pilot script,WE,I’m afraid he insists.,2222,s1e1,4,FALSE
Does,1,1,Pilot script,SB,"Does he? Ah, well, in that case...",2226,s1e1,7,FALSE
no,1,1,Pilot script,BP,"no! say no!""",2233,s1e1,3,FALSE
That'd,1,1,Pilot script,SB,That’d be lovely! Yes! Just give us a smidge to tidy up.,2236,s1e1,12,FALSE
We,1,1,Pilot script,SB,We went to boarding school together. We haven't seen each other since I was fifteen.,2248,s1e1,15,FALSE
There's,1,1,Pilot script,FR,There's too many buttons!,2263,s1e1,4,FALSE
Okay,1,1,Pilot script,SB,"Okay, you are Lord Peter Gravelston, minor royalty from Essex. And you love riding horses. Next!",2267,s1e1,16,FALSE
I'm,1,1,Pilot script,BA1,"I'm terribly sorry for firing on you earlier, Stede.",2283,s1e1,9,FALSE
Mm,1,1,Pilot script,SB,Mm! Ancient history. We easily could’ve done the same thing.,2292,s1e1,10,FALSE
Exactly,1,1,Pilot script,BA1,"Exactly. I mean, thank god you didn’t, otherwise you’d all be dead now. But----you’re a wonderful sport. So... tell me about your colorful crew.",2302,s1e1,25,FALSE
What,1,1,Pilot script,SB,"What is there to tell? Just a bunch of upper-crust lads trying our hand at the seafaring life. Right, boys?",2327,s1e1,20,FALSE
More,1,1,Pilot script,OL,"More tea, sir?",2347,s1e1,3,FALSE
Ugh,1,1,Pilot script,WE,"Ugh, no. Tastes like dishwater. I’m not surprised, it’s clearly been made by savages.",2350,s1e1,14,FALSE
We,1,1,Pilot script,BA1,"We were rowdy school chums, always playing pranks on one another. Hm? D'you remember the day with the rowboat?",2364,s1e1,19,FALSE
The,1,1,Pilot script,SB,"The rowboat? No, I can't.",2383,s1e1,5,FALSE
Oh,1,1,Pilot script,BA1,"Oh come now, the rowboat! It was hysterical.",2388,s1e1,8,FALSE
Look,1,1,Pilot script,BA2,Look! There's baby Bonnet! ...Get him! Bonnet!!,2396,s1e1,7,FALSE
Row,1,1,Pilot script,BA1,"Row, baby Bonnet, row!",2403,s1e1,4,FALSE
It,1,1,Pilot script,BA1,"It was all in good fun, of course. An initiation of sorts.",2407,s1e1,12,FALSE
Funny,1,1,Pilot script,SB,"Funny, I don’t remember recall it happening to anyone else.",2419,s1e1,10,FALSE
Oh,1,1,Pilot script,BA1,"Oh, and there was the time with the horse! Where we made you French kiss the horse. D'you remember?",2429,s1e1,19,FALSE
Right,1,1,Pilot script,SB,"Right, well. This has been quite a blast! But I’m sure you’re busy with all your things... The King and the Navy and all that.",2448,s1e1,25,FALSE
Not,1,1,Pilot script,BA1,"Not really, no. It’s terribly boring being at sea. I mean, how many pirate crews can one obliterate before it becomes a bit of a chore?",2473,s1e1,26,FALSE
Well,1,1,Pilot script,SB,"Well, this has been fun and all, but, uh... We’re actually on a bit of a tight schedule, aren't we? So...",2499,s1e1,21,FALSE
Just,1,1,Pilot script,BA1,Just a darling little ship you've got here. It's so... efficient. And... tiny. I’d love to see the rest of it.,2520,s1e1,21,FALSE
Would,1,1,Pilot script,SB,...Would you like a tour?,2541,s1e1,5,FALSE
Yes,1,1,Pilot script,BA1,"Yes, I would! Wonderful.",2546,s1e1,4,FALSE
We,1,1,Pilot script,WE,"We really should be getting back, Captain.",2550,s1e1,7,FALSE
Oh,1,1,Pilot script,BA1,"Oh keep your pants on, Wellington. We’ll be back on our smelly old ship soon enough. Really, smells of ass and runny cheese on that thing.",2557,s1e1,26,FALSE
Oh,1,1,Pilot script,SB,Oh! I bet it does...,2583,s1e1,5,FALSE
Good,1,1,Pilot script,BA1,Good god.,2588,s1e1,2,FALSE
Quite,1,1,Pilot script,SB,"Quite something, isn't it?",2590,s1e1,4,FALSE
it's,1,1,Pilot script,BA1,"It's absolutely ridiculous! I mean, who brings an entire library to sea? Baby Bonnet, that’s who. Oh, it's so perfectly you. It’s so impractical. I mean, what if there’s a storm? Don’t all the books fall out?",2594,s1e1,37,FALSE
We've,1,1,Pilot script,SB,We’ve managed so far.,2631,s1e1,4,FALSE
Ugh,1,1,Pilot script,BA1,"Ugh, to think of the ridiculous rumor going 'round about you.",2635,s1e1,11,FALSE
